,Year,Tioga Opened,Tioga Closed,Glacier Pt Opened,Glacier Pt Closed,Mariposa Grove Opened,Mariposa Grove Closed,Snowpack as of Apr 1
0,2019,1-Jul,19-Nov,10-May,25-Nov,16-Apr,26-Nov,176
1,2018,21-May,20-Nov,28-Apr,20-Nov,15-Jun,30-Nov,67
2,2017,29-Jun,14-Nov,11-May,14-Nov,Closed,Closed,177
3,2016,18-May,16-Nov,19-Apr,16-Nov,Closed,Closed,89
4,2015,4-May,1-Nov,28-Mar,2-Nov,No closure,6-Jul,7
5,2014,2-May,13-Nov,14-Apr,28-Nov,No closure,No closure,33
6,2013,11-May,18-Nov,3-May,18-Nov,No closure,No closure,52
7,2012,7-May,8-Nov,20-Apr,8-Nov,No closure,No closure,43
8,2011,18-Jun,17-Jan,27-May,19-Nov,15-Apr,No closure,178
9,2010,5-Jun,19-Nov,29-May,7-Nov,21-May,20-Nov,107
10,2009,19-May,12-Nov,5-May,12-Nov,,,92
11,2008,21-May,30-Oct,2-May,12-Dec,,,99
12,2007,11-May,6-Dec,4-May,6-Dec,,,46
13,2006,17-Jun,27-Nov,25-May,27-Nov,,,129
14,2005,24-Jun,25-Nov,25-May,?,,,163
15,2004,14-May,17-Oct,14-May,?,,,83
16,2003,31-May,31-Oct,31-May,31-Oct,,,65
17,2002,22-May,5-Nov,17-May,5-Nov,,,95
18,2001,12-May,11-Nov,15-May,?,,,67
19,2000,18-May,9-Nov,15-May,9-Nov,,,97
20,1999,28-May,23-Nov,28-May,23-Nov,,,110
21,1998,1-Jul,12-Nov,1-Jul,6-Nov,,,156
22,1997,13-Jun,12-Nov,22-May,12-Nov,,,105
23,1996,31-May,5-Nov,24-May,5-Nov,,,111
24,1995,30-Jun,11-Dec,1-Jul,11-Dec,,,178
25,1994,25-May,10-Nov,,,,,51
26,1993,3-Jun,24-Nov,,,,,159
27,1992,15-May,10-Nov,,,,,58
28,1991,26-May,14-Nov,,,,,79
29,1990,17-May,19-Nov,,,,,45
30,1989,12-May,24-Nov,,,,,83
31,1988,29-Apr,14-Nov,,,,,31
32,1987,2-May,13-Nov,,,,,51
33,1986,24-May,29-Nov,,,,,137
34,1985,8-May,12-Nov,,,,,97
35,1984,19-May,8-Nov,,,,,85
36,1983,29-Jun,11-Nov,,,,,224
37,1982,28-May,15-Nov,,,,,131
38,1981,15-May,12-Nov,,,,,77
39,1980,6-Jun,2-Dec,,,,,144
