Instagram Account,Year(end),Number of Followers
grandtetonnps,2015,65924
grandtetonnps,2016,208008
grandtetonnps,2017,300270
grandtetonnps,2018,385039
grandtetonnps,2019,475950
yosemitenps,2015,59063
yosemitenps,2016,343228
yosemitenps,2017,841364
yosemitenps,2018,1326628
yosemitenps,2019,1602507
yellowstonenps,2015,115603
yellowstonenps,2016,348248
yellowstonenps,2017,580958
yellowstonenps,2018,722471
yellowstonenps,2019,953764
zionnps,2015,31681
zionnps,2016,147220
zionnps,2017,305364
zionnps,2018,427486
zionnps,2019,692124
glaciernps,2014,40637
glaciernps,2015,193545
glaciernps,2016,412707
glaciernps,2017,593473
glaciernps,2018,667771
glaciernps,2019,764093
rockynps,2015,122845
rockynps,2016,280240
rockynps,2017,436205
rockynps,2018,451353
rockynps,2019,489278
natgeo,2014,10137809
natgeo,2015,40332995
natgeo,2016,66263813
natgeo,2017,84414370
natgeo,2018,94764576
natgeo,2019,127315965
